230124_fiber-opt* 03:31:45 Parameters 2.000000,2.000000,2.000000,3.000000,3.000000,2.000000,2.000000,3.000000,1.000000,3.000000,1.000000,2.000000,4.000000,2.000000,4.000000,1.000000,4.000000,3.000000,3.000000,4.000000,2.000000,4.000000,4.000000,3.000000,1.000000,3.000000,13.000000 Objectives 1126.36869467594
230124_fiber-opt* 03:31:47 Parameters 2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,14.000000 Objectives 1326.36869467594
230124_fiber-opt* 03:31:48 Parameters 0.000000,0.000000,1.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,1.000000,4.000000,1.000000,4.000000,1.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,1.000000,10.000000 Objectives 1326.36869467594
230124_fiber-opt* 03:31:49 Parameters 0.000000,0.000000,4.000000,1.000000,4.000000,4.000000,4.000000,1.000000,4.000000,1.000000,4.000000,4.000000,4.000000,4.000000,4.000000,1.000000,4.000000,1.000000,4.000000,1.000000,4.000000,1.000000,4.000000,1.000000,4.000000,4.000000,10.000000 Objectives 1126.36869467594
230124_fiber-opt* 03:31:50 Parameters 4.000000,4.000000,4.000000,4.000000,1.000000,4.000000,1.000000,4.000000,1.000000,3.000000,4.000000,1.000000,4.000000,1.000000,1.000000,1.000000,1.000000,1.000000,4.000000,4.000000,4.000000,4.000000,1.000000,2.000000,4.000000,4.000000,10.000000 Objectives 1026.36869467594
230124_fiber-opt* 03:31:51 Parameters 3.000000,1.000000,2.000000,1.000000,3.000000,4.000000,1.000000,4.000000,2.000000,2.000000,1.000000,4.000000,4.000000,3.000000,2.000000,3.000000,3.000000,1.000000,2.000000,3.000000,2.000000,3.000000,1.000000,3.000000,2.000000,2.000000,12.000000 Objectives 1126.36869467594
230124_fiber-opt* 03:31:52 Parameters 1.000000,3.000000,2.000000,1.000000,3.000000,2.000000,2.000000,4.000000,2.000000,1.000000,1.000000,2.000000,4.000000,3.000000,1.000000,3.000000,3.000000,1.000000,2.000000,4.000000,1.000000,1.000000,3.000000,3.000000,4.000000,2.000000,16.000000 Objectives 1026.36869467594
230124_fiber-opt* 03:31:53 Parameters 4.000000,0.000000,4.000000,1.000000,1.000000,4.000000,1.000000,1.000000,4.000000,1.000000,1.000000,4.000000,1.000000,4.000000,1.000000,1.000000,1.000000,4.000000,1.000000,4.000000,1.000000,4.000000,4.000000,4.000000,1.000000,1.000000,18.000000 Objectives 1326.36869467594
230124_fiber-opt* 03:31:55 Parameters 0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,1.000000,1.000000,1.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,1.000000,4.000000,4.000000,1.000000,1.000000,1.000000,4.000000,1.000000,18.000000 Objectives 1026.36869467594
230124_fiber-opt* 03:31:56 Parameters 4.000000,4.000000,1.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,1.000000,4.000000,4.000000,1.000000,4.000000,4.000000,1.000000,4.000000,4.000000,4.000000,4.000000,3.000000,3.000000,4.000000,1.000000,4.000000,4.000000,18.000000 Objectives 1026.36869467594
